Saved Date,Job Url,Job Title,Company Name
"10/13/23, 3:26 PM",http://www.linkedin.com/jobs/view/3709582085,Expert IT Business Systems Analyst- Demand & Supply Planning,Nestlé
"10/13/23, 3:26 PM",http://www.linkedin.com/jobs/view/3733764224,Analytics Business Analyst,Datavail
"1/19/23, 2:08 PM",http://www.linkedin.com/jobs/view/3430793720,"Coordinator, Digital Data",Aecon Group Inc.
"8/13/23, 6:54 PM",http://www.linkedin.com/jobs/view/3684475076,Lead Logistics Specialist - GE Hitachi Nuclear Energy,GE Power
"11/1/23, 7:06 AM",http://www.linkedin.com/jobs/view/3747561467,Program Information Analyst (8466),Toronto Transit Commission (TTC)
"10/3/23, 7:32 PM",http://www.linkedin.com/jobs/view/3709815399,"CPFR Analyst - Supply Chain, Remote",IPEX by Aliaxis
"2/27/23, 11:28 AM",http://www.linkedin.com/jobs/view/3481695616,Senior Logistics Analyst - Transportation,Lactalis Canada
"10/3/23, 7:36 PM",http://www.linkedin.com/jobs/view/3720219714,,
"10/20/21, 7:17 PM",http://www.linkedin.com/jobs/view/2767162596,Financial Analyst,Huawei
"10/13/23, 3:23 PM",http://www.linkedin.com/jobs/view/3738047353,Master Data Process Analyst,Mars
"1/24/24, 11:22 AM",http://www.linkedin.com/jobs/view/3769174959,,
"11/8/22, 8:07 PM",http://www.linkedin.com/jobs/view/3342211671,Supply Chain Financial Analyst,DECIEM | THE ABNORMAL BEAUTY COMPANY
"11/3/23, 4:12 PM",http://www.linkedin.com/jobs/view/3757373091,Business Intelligence & Reporting Analyst ,Cassels Brock & Blackwell LLP
"10/13/23, 3:23 PM",http://www.linkedin.com/jobs/view/3732349127,Data Analyst,McCain Foods
"10/19/23, 10:09 AM",http://www.linkedin.com/jobs/view/3743112908,Performance Data Analyst,Metrolinx
"10/21/23, 7:11 AM",http://www.linkedin.com/jobs/view/3745461590,Supply Chain Specialist,West Fraser
"10/13/23, 3:27 PM",http://www.linkedin.com/jobs/view/3715886699,Business Data Steward,Toyota Financial Services Corporation
"9/27/23, 8:33 PM",http://www.linkedin.com/jobs/view/3722350421,Supply Chain Strategy & Optimization Analyst,Staples Canada
"5/12/22, 6:49 AM",http://www.linkedin.com/jobs/view/3072266970,Master Data Specialist,Labatt Breweries of Canada
"8/12/21, 6:48 PM",http://www.linkedin.com/jobs/view/2674591257,Supply Chain Consultant,Canadian Tire Corporation
"10/3/23, 7:29 PM",http://www.linkedin.com/jobs/view/3719166616,"Business Analyst, Supply Chain",Pet Valu
"1/25/24, 3:01 AM",http://www.linkedin.com/jobs/view/3771263723,BI Developer,DSV - Global Transport and Logistics
"11/13/23, 6:57 PM",http://www.linkedin.com/jobs/view/3759813024,Data Analyst,407 ETR
"10/14/23, 9:56 AM",http://www.linkedin.com/jobs/view/3739646182,Transportation Freight Analyst,LCBO
"1/24/24, 1:19 PM",http://www.linkedin.com/jobs/view/3763803922,Procurement Data Analyst,AtkinsRéalis
"11/7/22, 2:23 PM",http://www.linkedin.com/jobs/view/3328047001,Supply & Data Analyst,Coty
"5/24/22, 6:57 AM",http://www.linkedin.com/jobs/view/3091054123,Business Systems Analyst,Exemplis LLC
"1/28/23, 3:19 PM",http://www.linkedin.com/jobs/view/3458355088,"Analyst, Reporting & Analytics - Remote Canada",lululemon
"11/28/23, 1:59 PM",http://www.linkedin.com/jobs/view/3759593357,"Sr Analyst, Supply Chain & Procurement Enablement",Rogers Communications
"10/31/23, 4:14 PM",http://www.linkedin.com/jobs/view/3728882327,Sales Reporting & Analytics Senior Analyst,Equinix
"12/30/23, 1:51 PM",http://www.linkedin.com/jobs/view/3781019010,Supply Chain Specialist,Mondelēz International
"9/8/23, 4:18 AM",http://www.linkedin.com/jobs/view/3647813968,Logistics Coordinator,Tesla
"10/17/23, 8:25 PM",http://www.linkedin.com/jobs/view/3727930585,Data & Reporting Partner,Aviva Canada
