Event Name,Event Time,Status,External Url
"[GRATUITO] Saiba como usar comportamentos que te prejudicam, a seu favor!","Sep 14, 2020 08:00 AM - Oct 15, 2020 11:00 PM",APPROVED,https://mauriciomagagna.com.br/inscricao/
R in Supply Chain: Intro to Supply Chain Design & Forecasting Demand with R,"Jan 18, 2022 05:00 PM - Jan 18, 2022 06:30 PM",APPROVED,https://www.addevent.com/event/by10435991
Live Blog na Garage - A vida do Comprador,"Sep 30, 2021 09:30 PM - Sep 30, 2021 10:45 PM",APPROVED,
🔴 MASTERLIVE | CONSTRUINDO ANÁLISES AVANÇADAS DE ALTO IMPACTO NO POWER BI,"Dec 05, 2023 11:00 PM - Dec 06, 2023 12:00 AM",APPROVED,
