School Name,Start Date,End Date,Notes,Degree Name,Activities
Aprenda Power BI - Leonardo Karpinski,Mar 2025,Oct 2026,,MBA Business Intelligence & Analytics,
University of Toronto,Oct 2021,Apr 2022,"A 24-week intensive program (+1300h of dedicated studying and learning) focused on gaining technical programming skills in:  - Advanced Excel (Pivot Tables, VBA Scripting) - Fundamental Statistics (Modelling, Forecasting and Prediction) - Python Programming (Python 3, JSON, NumPy, Pandas, Matplotlib, API Interactions, Web Scraping and Beautiful Soup) - Python libraries: Pandas, NumPy, Requests, Sqllite3, SQLAlchemy, Psycopg, Beautiful Soup, Flask, Scikit-learn, Matplotlib, Plotly, Gmaps, and SciPy - Databases (SQL, NoSQL, PostgreSQL/PgAdmin, MongoDB, Extract-Transform-Load ETL) - Front End Web Visualization (HTML, CSS, Bootstrap, Dashboarding, JavaScript Charting, Geomapping with Leaflet.js) - Business Intelligence Software (Tableau and Power BI) - Advanced Topics; R, Big Data Analytics with Hadoop, Amazon Web Services (AWS), Supervised and Unsupervised Machine Learning, Neural Networks and Deep Learning Models  - Visual Studio Code, Jupyter Notebook and GitHub",Certificate,
Universidade Federal de São Carlos,2016,2017,Financial Analysis; Cash Flow Management; Economic Scenarios; Tax Management; Financial Calculation; Costs Management; Financial Market; People management; Capital market; Portfolio Management; Market analysis;,Master of Business Administration (MBA),
Universidade de Sorocaba,2011,2013,,Bacharel of Foreign Trade BFT,
The London School of English,2004,2007,Lived in UK from 2004 to 2007.,Intercâmbio Cultural Londres,
SENAI SP,1999,2001,,Technical Graduation,
